id,title,description,image_link,link,price,"City name","Property type",Address,"Listing type"
198165,"Chalet Independiente en venta en Nueva Andalucía - Málaga | Gilmar","7 hab, 8 baños, 650.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-05/80bac3bc-63f8-4663-a1b5-94c7042805f1/HRvillaElba25.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-nueva-andalucia-malaga-referencia-198165/,"7,900,000.00 EUR","Nueva Andalucía",Viviendas,"40.416634, -3.703804",Comprar
196063,"Chalet Independiente en venta en Benahavís - Málaga | Gilmar","4 hab, 4 baños, 664.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-03/ccfa75f2-ce83-4da9-bd85-d3e5a4c8bc7c/Lounge%2011-sm.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-benahavis-malaga-referencia-196063/,"6,995,000.00 EUR",Benahavís,Viviendas,"36.5228374421202, -4.996567857318876",Comprar
196271,"Chalet Independiente en venta en Benahavís - Málaga | Gilmar","6 hab, 8 baños, 1187.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-03/a6158ca3-e8e8-46d0-9831-bdeb91ed5197/The%20Sky%20Marbella%20Villas%20-%20main%20exterior%20render.jpeg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-benahavis-malaga-referencia-196271/,"7,495,000.00 EUR",Benahavís,Viviendas,"36.52020467387279, -5.00118400257659",Comprar
196272,"Chalet Independiente en venta en Benahavís - Málaga | Gilmar","5 hab, 7 baños, 1048.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-03/110dc215-1964-4360-9fef-6cf22ce2f7f1/The%20Sky%20Marbella%20Villas%20-%20Villa%20sea%20view%20terrace.jpeg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-benahavis-malaga-referencia-196272/,"8,495,000.00 EUR",Benahavís,Viviendas,"36.520908293632914, -5.000078165646487",Comprar
196692,"Apartamento en venta en Nueva Andalucía - Málaga | Gilmar Consulting","3 hab, 2 baños, 106.14 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-04/4dfeb433-4882-4f95-9795-e44b7f3078e9/Piscina%20Albatros%201.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-nueva-andalucia-malaga-referencia-196692/,"425,000.00 EUR","Nueva Andalucía",Viviendas,"36.49827557147636, -4.977338666704669",Comprar
197366,"Chalet Independiente en venta en San Pedro Alcántara - Málaga | Gilmar","3 hab, 2 baños, 90.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-05/019c60b8-6ee2-43cc-afae-44b1142b5ca8/DSC05782_1.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-san-pedro-alcantara-malaga-referencia-197366/,"448,000.00 EUR","San Pedro Alcántara",Viviendas,"36.48106783829021, -4.989597981253988",Comprar
197499,"Chalet Independiente en venta en Nueva Andalucía - Málaga | Gilmar","5 hab, 5 baños, 555.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-05/ab4f5443-aa6a-44fb-adfb-294924611e3f/NF-VillaTira-1.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-nueva-andalucia-malaga-referencia-197499/,"2,795,000.00 EUR","Nueva Andalucía",Viviendas,"36.521243022581324, -4.971118612486618",Comprar
197556,"Apartamento en venta en Nueva Andalucía - Málaga | Gilmar Consulting","3 hab, 4 baños, 128.59 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-05/6c86feb7-0713-45e8-a687-be3e15de305c/DJI_0391%202.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-nueva-andalucia-malaga-referencia-197556/,"1,200,000.00 EUR","Nueva Andalucía",Viviendas,"36.508138628470704, -4.916506521250942",Comprar
197818,"Chalet Independiente en venta en Nueva Andalucía - Málaga | Gilmar","7 hab, 7 baños, 548.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-05/859a01a8-e420-4e1b-9d54-30a5abef8145/WhatsApp%20Image%202024-05-14%20at%2015.08.50.jpeg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-nueva-andalucia-malaga-referencia-197818/,"4,500,000.00 EUR","Nueva Andalucía",Viviendas,"36.49837261324177, -4.9548253561684685",Comprar
197877,"Chalet Independiente en venta en Nueva Andalucía - Málaga | Gilmar","5 hab, 7 baños, 531.07 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-05/147f6017-3bcd-44a7-a49a-c4baeb3b77df/DJI_0412.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-nueva-andalucia-malaga-referencia-197877/,"3,700,000.00 EUR","Nueva Andalucía",Viviendas,"36.51225135901007, -4.980178607179347",Comprar
